EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_TITLE,SALARY,DEPARTMENT
EMP179,Charles,Johnson,Charles.Johnson@company.com,011.44.1644.429262,39451,Sales Representative,6200,Sales
EMP180,Winston,Taylor,Winston.Taylor@company.com,650.507.9876,38741,Shipping Clerk,3200,Shipping
EMP181,Jean,Fleaur,Jean.Fleaur@company.com,650.507.9877,38771,Shipping Clerk,3100,Shipping
EMP182,Martha,Sullivan,Martha.Sullivan@company.com,650.507.9878,39254,Shipping Clerk,2500,Shipping
EMP183,Girard,Geoni,Girard.Geoni@company.com,650.507.9879,39481,Shipping Clerk,2800,Shipping
EMP184,Nandita,Sarchand,Nandita.Sarchand@company.com,650.509.1876,38013,Shipping Clerk,4200,Shipping
EMP185,Alexis,Bull,Alexis.Bull@company.com,650.509.2876,38403,Shipping Clerk,4100,Shipping
EMP186,Julia,Dellinger,Julia.Dellinger@company.com,650.509.3876,38892,Shipping Clerk,3400,Shipping
EMP187,Anthony,Cabrio,Anthony.Cabrio@company.com,650.509.4876,39120,Shipping Clerk,3000,Shipping
EMP188,Kelly,Chung,Kelly.Chung@company.com,650.505.1876,38517,Shipping Clerk,3800,Shipping
EMP189,Jennifer,Dilly,Jennifer.Dilly@company.com,650.505.2876,38577,Shipping Clerk,3600,Shipping
EMP190,Timothy,Gates,Timothy.Gates@company.com,650.505.3876,38909,Shipping Clerk,2900,Shipping
EMP191,Randall,Perkins,Randall.Perkins@company.com,650.505.4876,39435,Shipping Clerk,2500,Shipping
EMP192,Sarah,Bell,Sarah.Bell@company.com,650.501.1876,38021,Shipping Clerk,4000,Shipping
EMP193,Britney,Everett,Britney.Everett@company.com,650.501.2876,38414,Shipping Clerk,3900,Shipping
EMP194,Samuel,McCain,Samuel.McCain@company.com,650.501.3876,38899,Shipping Clerk,3200,Shipping
EMP195,Vance,Jones,Vance.Jones@company.com,650.501.4876,39158,Shipping Clerk,2800,Shipping
EMP196,Alana,Walsh,Alana.Walsh@company.com,650.507.9811,38831,Shipping Clerk,3100,Shipping
EMP197,Kevin,Feeney,Kevin.Feeney@company.com,650.507.9822,38860,Shipping Clerk,3000,Shipping
EMP198,Donald,OConnell,Donald.OConnell@company.com,650.507.9833,39254,Shipping Clerk,2600,Shipping
EMP199,Douglas,Grant,Douglas.Grant@company.com,650.507.9844,39460,Shipping Clerk,2600,Shipping
EMP200,Jennifer,Whalen,Jennifer.Whalen@company.com,515.123.4444,37881,Administration Assistant,4400,Administration
EMP201,Michael,Hartstein,Michael.Hartstein@company.com,515.123.5555,38034,Marketing Manager,13000,Marketing
EMP202,Pat,Fay,Pat.Fay@company.com,603.123.6666,38581,Marketing Representative,6000,Marketing
EMP203,Susan,Mavris,Susan.Mavris@company.com,515.123.7777,37414,Human Resources Representative,6500,Human Resources
EMP204,Hermann,Baer,Hermann.Baer@company.com,515.123.8888,37414,Public Relations Representative,10000,Public Relations
EMP205,Shelley,Higgins,Shelley.Higgins@company.com,515.123.8080,37414,Accounting Manager,12008,Accounting
EMP206,William,Gietz,William.Gietz@company.com,515.123.8181,37414,Public Accountant,8300,Accounting
