File1_Record,File2_Record,FuzzyMatchScore
Luis,John Chen,0
Luis,Ismael Sciarra,11
Luis,Jose Manuel Urman,10
Luis,Luis Popp,62
Luis,Den Raphaely,0
Luis,Alexander Khoo,0
Luis,Shelli Baida,12
Luis,Sigal Tobias,25
Den,Steven King,29
Den,Neena Kochhar,25
Den,Lex De Haan,43
Den,Alexander Hunold,21
Den,Bruce Ernst,29
Den,David Austin,27
Den,Valli Pataballa,0
Den,Diana Lorentz,38
Den,Nancy Greenberg,22
Den,Daniel Faviet,25
Den,John Chen,33
Den,Ismael Sciarra,12
Den,Jose Manuel Urman,20
Den,Luis Popp,0
Den,Den Raphaely,40
Den,Alexander Khoo,24
Den,Shelli Baida,13
Den,Sigal Tobias,0
Alexander,Steven King,20
Alexander,Neena Kochhar,27
Alexander,Lex De Haan,40
Alexander,Alexander Hunold,72
Alexander,Bruce Ernst,20
Alexander,David Austin,19
Alexander,Valli Pataballa,17
Alexander,Diana Lorentz,27
Alexander,Nancy Greenberg,33
Alexander,Daniel Faviet,27
Alexander,John Chen,22
Alexander,Ismael Sciarra,26
Alexander,Jose Manuel Urman,38
Alexander,Luis Popp,0
Alexander,Den Raphaely,10
Alexander,Alexander Khoo,78
Alexander,Shelli Baida,29
Alexander,Sigal Tobias,19
Shelli,Steven King,35
Shelli,Neena Kochhar,11
Shelli,Lex De Haan,12
Shelli,Alexander Hunold,18
Shelli,Bruce Ernst,12
Shelli,David Austin,11
Shelli,Valli Pataballa,29
Shelli,Diana Lorentz,11
Shelli,Nancy Greenberg,10
Shelli,Daniel Faviet,32
Shelli,John Chen,27
Shelli,Ismael Sciarra,30
Shelli,Jose Manuel Urman,17
Shelli,Luis Popp,13
Shelli,Den Raphaely,33
Shelli,Alexander Khoo,10
Shelli,Shelli Baida,67
Shelli,Sigal Tobias,33
Sigal,Steven King,38
Sigal,Neena Kochhar,11
Sigal,Lex De Haan,12
Sigal,Alexander Hunold,19
Sigal,Bruce Ernst,0
Sigal,David Austin,12
Sigal,Valli Pataballa,20
Sigal,Diana Lorentz,22
Sigal,Nancy Greenberg,10
Sigal,Daniel Faviet,22
Sigal,John Chen,0
Sigal,Ismael Sciarra,32
Sigal,Jose Manuel Urman,18
Sigal,Luis Popp,14
Sigal,Den Raphaely,24
Sigal,Alexander Khoo,11
Sigal,Shelli Baida,35
Sigal,Sigal Tobias,59
